header,path,section,title,href,folder,name,Rebrand
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Memory leak,How-to guides\Collect data\Configure applications\Smart Detection\,Memory leak,../application-insights/app-insights-proactive-potential-memory-leak.md,../application-insights/,app-insights-proactive-potential-memory-leak.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Resource utilization,How-to guides\Collect data\Configure applications\Smart Detection\,Resource utilization,../application-insights/app-insights-proactive-low-utilization-cloud-resources.md,../application-insights/,app-insights-proactive-low-utilization-cloud-resources.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Security detection,How-to guides\Collect data\Configure applications\Smart Detection\,Security detection,../application-insights/app-insights-proactive-application-security-detection-pack.md,../application-insights/,app-insights-proactive-application-security-detection-pack.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Azure Cloud Services,How-to guides\Collect data\Configure applications\Smart Detection\,Azure Cloud Services,../application-insights/app-insights-proactive-cloud-services.md,../application-insights/,app-insights-proactive-cloud-services.md,
How-to guides,How-to guides\Collect data\Configure applications\Smart Detection\Manage smart detection rules,How-to guides\Collect data\Configure applications\Smart Detection\,Manage smart detection rules,../application-insights/app-insights-proactive-arm-config.md,../application-insights/,app-insights-proactive-arm-config.md,
How-to guides,How-to guides\Collect data\Configure applications\Create a resource,How-to guides\Collect data\Configure applications\,Create a resource,../application-insights/app-insights-create-new-resource.md,../application-insights/,app-insights-create-new-resource.md,
How-to guides,How-to guides\Collect data\Configure applications\Troubleshoot\No data for .NET,How-to guides\Collect data\Configure applications\Troubleshoot\,No data for .NET,../application-insights/app-insights-asp-net-troubleshoot-no-data.md,../application-insights/,app-insights-asp-net-troubleshoot-no-data.md,
How-to guides,How-to guides\Collect data\Configure applications\Troubleshoot\Snapshot debugger,How-to guides\Collect data\Configure applications\Troubleshoot\,Snapshot debugger,../application-insights/app-insights-troubleshoot-snapshot-debugger.md,../application-insights/,app-insights-troubleshoot-snapshot-debugger.md,
How-to guides,How-to guides\Collect data\Configure applications\Troubleshoot\Analytics,How-to guides\Collect data\Configure applications\Troubleshoot\,Analytics,../application-insights/app-insights-analytics-troubleshooting.md,../application-insights/,app-insights-analytics-troubleshooting.md,
How-to guides,How-to guides\Collect data\Configure applications\Troubleshoot\Java,How-to guides\Collect data\Configure applications\Troubleshoot\,Java,../application-insights/app-insights-java-troubleshoot.md,../application-insights/,app-insights-java-troubleshoot.md,
How-to guides,How-to guides\Collect data\Configure applications\Troubleshoot\Usage analytics,How-to guides\Collect data\Configure applications\Troubleshoot\,Usage analytics,../application-insights/app-insights-usage-troubleshoot.md,../application-insights/,app-insights-usage-troubleshoot.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\Map dependencies,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\,Map dependencies,insights/vminsights-maps.md,insights/,vminsights-maps.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\Onboard,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\,Onboard,insights/vminsights-onboard.md,insights/,vminsights-onboard.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\Disable monitoring,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\,Disable monitoring,insights/vminsights-optout.md,insights/,vminsights-optout.md,
Concepts,Concepts\Insights\Virtual Machines,Concepts\Insights\,Virtual Machines,insights/vminsights-overview.md,insights/,vminsights-overview.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\Overview,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\,Overview,insights/vminsights-overview.md,insights/,vminsights-overview.md,
How-to guides,How-to guides\Collect data\Azure resources\Correlate custom data sources,How-to guides\Collect data\Azure resources\,Correlate custom data sources,../application-insights/app-insights-custom-data-correlation.md,../application-insights/,app-insights-custom-data-correlation.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\Monitor performance,How-to guides\Gain insights\Monitor virtual machines\Azure Monitor for VMs\,Monitor performance,insights/vminsights-performance.md,insights/,vminsights-performance.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\VMware Analytics,How-to guides\Gain insights\Monitor virtual machines\,VMware Analytics,insights/vmware.md,insights/,vmware.md,
How-to guides,How-to guides\Collect data\Collect custom data\Application data,How-to guides\Collect data\Collect custom data\,Application data,../application-insights/app-insights-analytics-import.md,../application-insights/,app-insights-analytics-import.md,
How-to guides,How-to guides\Collect data\Collect custom data\Metrics store REST API,How-to guides\Collect data\Collect custom data\,Metrics store REST API,../monitoring-and-diagnostics/metrics-store-custom-rest-api.md,../monitoring-and-diagnostics/,metrics-store-custom-rest-api.md,
How-to guides,How-to guides\Collect data\Collect custom data\GuestOS to metrics store Linux VM (Telegraf),How-to guides\Collect data\Collect custom data\,GuestOS to metrics store Linux VM (Telegraf),platform/collect-custom-metrics-linux-telegraf.md  ,../monitoring-and-diagnostics/,platform/collect-custom-metrics-linux-telegraf.md,
How-to guides,How-to guides\Gain insights\Monitor virtual machines\Wire Data,How-to guides\Gain insights\Monitor virtual machines\,Wire Data,insights/wire-data.md,insights/,wire-data.md,
How-to guides,How-to guides\Collect data\System Center\Application Performance Monitoring using SCOM,How-to guides\Collect data\System Center\,Application Performance Monitoring using SCOM,../application-insights/app-insights-scom.md,../application-insights/,app-insights-scom.md,
How-to guides,How-to guides\Collect data\Route data\Archive activity log,How-to guides\Collect data\Route data\,Archive activity log,../monitoring-and-diagnostics/monitoring-archive-activity-log.md,../monitoring-and-diagnostics/,monitoring-archive-activity-log.md,
How-to guides,How-to guides\Collect data\Route data\Archive diagnostic logs,How-to guides\Collect data\Route data\,Archive diagnostic logs,../monitoring-and-diagnostics/monitoring-archive-diagnostic-logs.md,../monitoring-and-diagnostics/,monitoring-archive-diagnostic-logs.md,
How-to guides,How-to guides\Collect data\Route data\Store diagnostic logs,How-to guides\Collect data\Route data\,Store diagnostic logs,../monitoring-and-diagnostics/monitor-stream-diagnostic-logs-log-analytics.md,../monitoring-and-diagnostics/,monitor-stream-diagnostic-logs-log-analytics.md,
How-to guides,How-to guides\Collect data\Route data\Stream activity log to Event Hubs,How-to guides\Collect data\Route data\,Stream activity log to Event Hubs,../monitoring-and-diagnostics/monitoring-stream-activity-logs-event-hubs.md,../monitoring-and-diagnostics/,monitoring-stream-activity-logs-event-hubs.md,
How-to guides,How-to guides\Collect data\Route data\Logs and metrics to Event Hub,How-to guides\Collect data\Route data\,Logs and metrics to Event Hub,../monitoring-and-diagnostics/monitor-stream-monitoring-data-event-hubs.md,../monitoring-and-diagnostics/,monitor-stream-monitoring-data-event-hubs.md,
How-to guides,How-to guides\Collect data\Route data\Diagnostic logs to Event Hub,How-to guides\Collect data\Route data\,Diagnostic logs to Event Hub,../monitoring-and-diagnostics/monitoring-stream-diagnostic-logs-to-event-hubs.md,../monitoring-and-diagnostics/,monitoring-stream-diagnostic-logs-to-event-hubs.md,
Quickstarts,Quickstarts\Virtual machines\Collect - Azure VMs,Quickstarts\Virtual machines\,Collect - Azure VMs,learn/quick-collect-azurevm.md,learn/,quick-collect-azurevm.md,
How-to guides,How-to guides\Collect data\Route data\Export application data\Continuous export,How-to guides\Collect data\Route data\Export application data\,Continuous export,../application-insights/app-insights-export-telemetry.md,../application-insights/,app-insights-export-telemetry.md,
