TableName,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Standard Property,Needs validation
OfficeActivity,ClientInfoString,44,System.String,string,"Information about the email client that was used to perform the operation, such as a browser version, Outlook version, and mobile device information.",No,
OfficeActivity,ClientIP,11,System.String,string,IP address of the device that was used when the activity was logged. The IP address is displayed in either an IPv4 or IPv6 address format.,No,
OfficeActivity,ClientMachineName,46,System.String,string,Machine name that hosts the Outlook client.,No,
OfficeActivity,ClientProcessName,47,System.String,string,Email client that was used to access the mailbox.,No,
OfficeActivity,ClientVersion,48,System.String,string,Version of the email client.,No,
OfficeActivity,CrossMailboxOperations,50,System.SByte,bool,Indicates if the operation involved more than one mailbox.,No,
OfficeActivity,CustomEvent,28,System.String,string,Optional string for custom events.,No,
OfficeActivity,DataCenterSecurityEventType,77,System.Int32,int,,No,
OfficeActivity,DestFolder,55,System.String,string,"Destination folder, for operations such as Move.",No,
OfficeActivity,DestinationFileExtension,25,System.String,string,File extension of a file that is copied or moved. This property is displayed only for FileCopied and FileMoved events.,No,
OfficeActivity,DestinationFileName,24,System.String,string,Name of the file that is copied or moved. This property is displayed only for FileCopied and FileMoved events.,No,
OfficeActivity,DestinationRelativeUrl,23,System.String,string,"URL of the destination folder where a file is copied or moved. The combination of the values for SiteURL, DestinationRelativeURL, and DestinationFileName parameters is the same as the value for the ObjectID property, which is the full path name for the file that was copied. This property is displayed only for FileCopied and FileMoved events.",No,
OfficeActivity,DestMailboxId,51,System.String,string,GUID of the target mailbox. Set only if the CrossMailboxOperations parameter is True.,No,
OfficeActivity,DestMailboxOwnerMasterAccountSid,54,System.String,string,SID for the master account SID of the target mailbox owner. Set only if the CrossMailboxOperations parameter is True.,No,
OfficeActivity,DestMailboxOwnerSid,53,System.String,string,SID of the target mailbox. Set only if the CrossMailboxOperations parameter is True.,No,
OfficeActivity,DestMailboxOwnerUPN,52,System.String,string,UPN of the owner of the target mailbox. Set only if the CrossMailboxOperations parameter is True.,No,
OfficeActivity,EffectiveOrganization,79,System.String,string,Name of the tenant that the elevation/cmdlet was targeted at.,No,
OfficeActivity,ElevationApprovedTime,82,System.DateTime,datetime,Timestamp for when the elevation was approved.,No,
OfficeActivity,ElevationApprover,81,System.String,string,Name of a Microsoft manager.,No,
OfficeActivity,ElevationDuration,85,System.Int32,int,Duration for which the elevation was active.,No,
OfficeActivity,ElevationRequestId,83,System.String,string,Unique identifier for the elevation request.,No,
OfficeActivity,ElevationRole,84,System.String,string,Role the elevation was requested for.,No,
OfficeActivity,ElevationTime,80,System.DateTime,datetime,Start time of the elevation.,No,
OfficeActivity,Event_Data,29,System.String,string,Optional payload for custom events.,No,
OfficeActivity,EventSource,14,System.String,string,Identifies whether an event occurred in SharePoint. Possible values are SharePoint or ObjectModel.,No,
OfficeActivity,ExtendedProperties,64,System.String,string,Extended properties of the Azure AD event.,No,
OfficeActivity,ExternalAccess,33,System.String,string,"Specifies whether the cmdlet was run by a user in your organization, by Microsoft datacenter personnel or a datacenter service account, or by a delegated administrator. The value False indicates that the cmdlet was run by someone in your organization. The value True indicates that the cmdlet was run by datacenter personnel, a datacenter service account, or a delegated administrator.",No,
OfficeActivity,Folder,49,System.String,string,Folder where a group of items is located.,No,
OfficeActivity,Folders,56,System.String,string,"Information about the source folders involved in an operation. For example, specifies if folders are selected and then deleted.",No,
OfficeActivity,GenericInfo,86,System.String,string,,No,
OfficeActivity,InternalLogonType,37,System.Int32,int,Reserved for internal use.,No,
OfficeActivity,InterSystemsId,72,System.String,string,GUID that track the actions across components within the Office 365 service.,No,
OfficeActivity,IntraSystemId,73,System.String,string,GUID that's generated by Azure Active Directory to track the action.,No,
OfficeActivity,Item,58,System.String,string,Item the operation was performed was performed on.,No,
OfficeActivity,ItemType,13,System.String,string,Type of object that was accessed or modified. See the ItemType table for details on the types of objects.,No,
OfficeActivity,LoginStatus,67,System.Int32,int,This property is from OrgIdLogon.LoginStatus. The mapping of various interesting logon failures could be done by alerting algorithms.,No,
OfficeActivity,Logon_Type,36,System.String,string,Type of user who accessed the mailbox and performed the operation that was logged.,No,
OfficeActivity,LogonUserDisplayName,43,System.String,string,User-friendly name of the user who performed the operation.,No,
OfficeActivity,LogonUserSid,42,System.String,string,SID of the user who performed the operation.,No,
OfficeActivity,MachineDomainInfo,17,System.String,string,Information about device sync operations. This information is reported only if it's present in the request.,No,
OfficeActivity,MachineId,18,System.String,string,Information about device sync operations. This information is reported only if it's present in the request.,No,
