service,folder,file,type,test,link,media name,mediafolder,folder match
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs.md , Media    , True  , ./media/app-insights-nodejs/10-perf.png,app-insights-nodejs/10-perf.png,app-insights-nodejs,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs.md , Media    , True  , ./media/app-insights-nodejs/12-first-perf.png,app-insights-nodejs/12-first-perf.png,app-insights-nodejs,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/001-u.png,app-insights-nodejs-quick-start/001-u.png,app-insights-nodejs-quick-start,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/006.png,app-insights-nodejs-quick-start/006.png,app-insights-nodejs-quick-start,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-website-monitoring.md , Media    , True  , ./media/app-insights-nodejs-quick-start/instrumentation-key-001.png,app-insights-nodejs-quick-start/instrumentation-key-001.png,app-insights-nodejs-quick-start,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/007-Black.png,app-insights-nodejs-quick-start/007-Black.png,app-insights-nodejs-quick-start,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-tutorial-response.md , Web URL  ,       , https://portal.azure.com,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/009-Black.png,app-insights-nodejs-quick-start/009-Black.png,app-insights-nodejs-quick-start,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/application-map.png,app-insights-nodejs-quick-start/application-map.png,app-insights-nodejs-quick-start,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-previews.md , Media    , True  , ./media/app-insights-preview/preview.png,app-insights-preview/preview.png,app-insights-preview,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-performance-diagnostics.md , Media    , True  , ./media/app-insights-proactive-diagnostics/dependency_duration_degradation.png,app-insights-proactive-diagnostics/dependency_duration_degradation.png,app-insights-proactive-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/instrumentation-key-001.png,app-insights-nodejs-quick-start/instrumentation-key-001.png,app-insights-nodejs-quick-start,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-performance-diagnostics.md , Media    , True  , ./media/app-insights-proactive-diagnostics/server_response_time_degradation.png,app-insights-proactive-diagnostics/server_response_time_degradation.png,app-insights-proactive-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/overview-001.png,app-insights-nodejs-quick-start/overview-001.png,app-insights-nodejs-quick-start,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-nodejs-quick-start.md , Media    , True  , ./media/app-insights-nodejs-quick-start/overview-perf.png,app-insights-nodejs-quick-start/overview-perf.png,app-insights-nodejs-quick-start,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-tutorial-viewdata.md , Web URL  ,       , https://portal.azure.com,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/01-scheme.png,app-insights-overview/01-scheme.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/alerts-tn.png,app-insights-overview/alerts-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/analytics-tn.png,app-insights-overview/analytics-tn.png,app-insights-overview,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-tutorial-viewdata.md , Docs URL ,       , /azure/kusto/query/summarizeoperator,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/appmap-tn.png,app-insights-overview/appmap-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/dashboard-tn.png,app-insights-overview/dashboard-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/export-tn.png,app-insights-overview/export-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/live-metrics-tn.png,app-insights-overview/live-metrics-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/metrics-tn.png,app-insights-overview/metrics-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/power-bi.png,app-insights-overview/power-bi.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/profiler.png,app-insights-overview/profiler.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/rest-tn.png,app-insights-overview/rest-tn.png,app-insights-overview,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-tutorial-viewdata.md , Docs URL ,       , /azure/kusto/query/avg-aggfunction,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/retention.png,app-insights-overview/retention.png,app-insights-overview,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-tutorial-viewdata.md , Docs URL ,       , /azure/kusto/query/renderoperator,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/search-tn.png,app-insights-overview/search-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/snapshot.png,app-insights-overview/snapshot.png,app-insights-overview,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Web URL  ,       , https://portal.azure.com,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/video-front-1.png,app-insights-overview/video-front-1.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview.md , Media    , True  , ./media/app-insights-overview/visual-studio-tn.png,app-insights-overview/visual-studio-tn.png,app-insights-overview,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview-dashboard.md , Media    , True  , .\media\app-insights-overview-dashboard\0001-dashboard.png,app-insights-overview-dashboard/0001-dashboard.png,app-insights-overview-dashboard,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview-dashboard.md , Media    , True  , .\media\app-insights-overview-dashboard\app-insights-overview-dashboard-03.png,app-insights-overview-dashboard/app-insights-overview-dashboard-03.png,app-insights-overview-dashboard,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Article  , False , ../monitoring-and-diagnostics/monitor-alerts-unified-usage.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview-dashboard.md , Media    , True  , .\media\app-insights-overview-dashboard\app-insights-overview-dashboard-04.png,app-insights-overview-dashboard/app-insights-overview-dashboard-04.png,app-insights-overview-dashboard,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview-dashboard.md , Media    , True  , .\media\app-insights-overview-dashboard\app-insights-overview-dashboard-05.png,app-insights-overview-dashboard/app-insights-overview-dashboard-05.png,app-insights-overview-dashboard,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview-dashboard.md , Media    , True  , .\media\app-insights-overview-dashboard\app-insights-overview-dashboard-07.png,app-insights-overview-dashboard/app-insights-overview-dashboard-07.png,app-insights-overview-dashboard,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Web URL  ,       , https://docs.microsoft.com/previous-versions/windows/it-pro/windows-server-2008-R2-and-2008/dd772626(v%3dws.10,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Article  , False , ../operations-management-suite/operations-management-suite-solution-targeting.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-overview-dashboard.md , Media    , True  , .\media\app-insights-overview-dashboard\overview.png,app-insights-overview-dashboard/overview.png,app-insights-overview-dashboard,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Article  , False , ../operations-management-suite/operations-management-suite-solution-targeting.md,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Article  , False , log-analytics-log-searches.md,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Article  , False , ../monitoring-and-diagnostics/monitor-alerts-unified-usage.md,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-usage.md , Article  , False , ../operations-management-suite/operations-management-suite-solution-targeting.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-performance-counters.md , Media    , True  , ./media/app-insights-performance-counters/analytics-available-memory.png,app-insights-performance-counters/analytics-available-memory.png,app-insights-performance-counters,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-performance-counters.md , Media    , True  , ./media/app-insights-performance-counters/analytics-metrics-role-instance.png,app-insights-performance-counters/analytics-metrics-role-instance.png,app-insights-performance-counters,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-performance-counters.md , Media    , True  , ./media/app-insights-performance-counters/analytics-performance-counters.png,app-insights-performance-counters/analytics-performance-counters.png,app-insights-performance-counters,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-filters.md , Docs URL ,       , /azure/kusto/query/sortoperator,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #list-of-queries-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #number-and-list-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #two-numbers-and-list-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #donut-and-list-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #two-timelines-and-list-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #information-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #line-chart-callout-and-list-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #line-chart-and-list-part,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #stack-of-line-charts-part,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-performance-counters.md , Media    , True  , ./media/app-insights-performance-counters/choose-performance-counters.png,app-insights-performance-counters/choose-performance-counters.png,app-insights-performance-counters,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-performance-counters.md , Media    , True  , ./media/app-insights-performance-counters/counters-by-server-instance.png,app-insights-performance-counters/counters-by-server-instance.png,app-insights-performance-counters,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #sparklines,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #thresholds,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-powershell.md , Media    , True  , ./media/app-insights-powershell/01.png,app-insights-powershell/01.png,app-insights-powershell,TRUE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-view-designer-parts.md , Anchor   ,       , #click-through-navigation,,,
