filename,foldername,path,fullpath,tocheader,tocfolder,tocname,tocpath,title,description,services,documentationcenter,author,manager,editor,ms.assetid,ms.service,ms.workload,ms.tgt_pltfrm,ms.devlang,ms.topic,Type,ms.date,ms.author,ms.component
solutions-solution-file.md,insights,insights,insights\solutions-solution-file.md,How-to guides,How-to guides\Extend\Monitoring solutions,How-to guides,How-to guides\Extend\Monitoring solutions\Solution file,Creating a management solution file in Azure | Microsoft Docs,Management solutions provide packaged management scenarios that customers can add to their Azure environment.  This article provides details on how you can create management solutions to be used in your own environment or made available to your customers.,monitoring,'',bwren,carmonm,tysonn,1915e204-ba7e-431b-9718-9eb6b4213ad8,azure-monitor,infrastructure-services,na,,article,article,1/9/2018,bwren,
solutions-resources-views.md,insights,insights,insights\solutions-resources-views.md,How-to guides,How-to guides\Extend\Monitoring solutions,How-to guides,How-to guides\Extend\Monitoring solutions\Views,Views in management solutions | Microsoft Docs,'Management solutions will typically include one or more views to visualize data.  This article describes how to export a view created by the View Designer and include it in a management solution. ',monitoring,'',bwren,jwhit,tysonn,570b278c-2d47-4e5a-9828-7f01f31ddf8c,azure-monitor,infrastructure-services,na,,article,article,1/16/2018,bwren,
distributed-tracing.md,app,app,app\distributed-tracing.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights overview,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights overview\Distributed tracing,Distributed Tracing in Azure Application Insights | Microsoft Docs,Provides information about Microsoft's support for distributed tracing through our local forwarder and partnership in the OpenCensus project,application-insights,,nikmd23,carmonm,,,application-insights,,,,conceptual,conceptual,9/17/2018,nimolnar,
pre-aggregated-metrics-log-metrics.md,app,app,app\pre-aggregated-metrics-log-metrics.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights overview,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights overview\Log-based & pre-aggregated metrics,Log-based and pre-aggregated metrics in Azure Application Insights | Microsoft Docs,Why to use log-based versus pre-aggregated metrics in Azure Application Insights,application-insights,,vgorbenko,carmonm,,,application-insights,,,,conceptual,conceptual,9/18/2018,vitalyg,
app-insights-overview.md,app,app,app\app-insights-overview.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights overview,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights overview\Overview,What is Azure Application Insights? | Microsoft Docs,"Application Performance Management and usage tracking of your live web application.  Detect, triage and diagnose problems, understand how people use your app.",application-insights,'',mrbullwinkle,carmonm,,379721d1-0f82-445a-b416-45b94cb969ec,application-insights,tbd,ibiza,,overview,overview,6/3/2019,mbullwin,
app-map.md,app,app,app\app-map.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Application Map,Application Map in Azure Application Insights | Microsoft Docs,Monitor complex application topologies with the application map,application-insights,'',mrbullwinkle,carmonm,,3bf37fe9-70d7-4229-98d6-4f624d256c36,application-insights,tbd,ibiza,,conceptual,conceptual,3/15/2019,mbullwin,
hockeyapp-bridge-app.md,app,app,app\hockeyapp-bridge-app.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\HockeyApp data,Exploring HockeyApp data in Azure Application Insights | Microsoft Docs,Analyze usage and performance of your Azure app with Application Insights.,application-insights,windows,mrbullwinkle,carmonm,,97783cc6-67d6-465f-9926-cb9821f4176e,application-insights,tbd,ibiza,,conceptual,conceptual,3/30/2017,mbullwin,
live-stream.md,app,app,app\live-stream.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Live stream,Live Metrics Stream with custom metrics and diagnostics in Azure Application Insights | Microsoft Docs,"Monitor your web app in real time with custom metrics, and diagnose issues with a live feed of failures, traces, and events.",application-insights,'',mrbullwinkle,carmonm,,1f471176-38f3-40b3-bc6d-3f47d0cbaaa2,application-insights,tbd,ibiza,,conceptual,conceptual,4/22/2019,mbullwin,
metrics-explorer.md,app,app,app\metrics-explorer.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Metrics,Exploring Metrics in Azure Application Insights | Microsoft Docs,"How to interpret charts on metric explorer, and how to customize metric explorer blades.",application-insights,'',mrbullwinkle,carmonm,,1f471176-38f3-40b3-bc6d-3f47d0cbaaa2,application-insights,tbd,ibiza,,conceptual,conceptual,1/22/2019,mbullwin,
diagnostic-search.md,app,app,app\diagnostic-search.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Search,Using Search in Azure Application Insights | Microsoft Docs,Search and filter raw telemetry sent by your web app.,application-insights,'',mrbullwinkle,carmonm,,2a437555-8043-45ec-937a-225c9bf0066b,application-insights,tbd,ibiza,,conceptual,conceptual,9/20/2018,mbullwin,
transaction-diagnostics.md,app,app,app\transaction-diagnostics.md,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal,How-to guides,How-to guides\Gain insights\Monitor applications\Application Insights portal\Transaction diagnostics,Azure Application Insights Transaction Diagnostics | Microsoft Docs,Application Insights end-to-end transaction diagnostics,application-insights,.net,mrbullwinkle,carmonm,,,application-insights,TBD,ibiza,,conceptual,conceptual,1/19/2018,mbullwin,
