CreatedAt,Assignee,Url,Title,Content
4/22/2020 10:24,KrishnaG-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/53018,create saved search with az CLI,[articles/azure-monitor/insights/solutions-resources-searches-alerts.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/solutions-resources-searches-alerts.md)
4/21/2020 8:29,MGoedtel,https://github.com/MicrosoftDocs/azure-docs/issues/52911,Red Hat OpenShift Container Platform (OCP) 3.4 and 3.5. What about the new versions?,[articles/azure-monitor/insights/containers.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/containers.md)
4/21/2020 3:13,bwren,https://github.com/MicrosoftDocs/azure-docs/issues/52892,Metric dashboard refresh rate,[articles/azure-monitor/visualizations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/visualizations.md)
4/21/2020 2:42,mrbullwinkle,https://github.com/MicrosoftDocs/azure-docs/issues/52890,Image resolutions - poor,[articles/azure-monitor/app/usage-flows.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/usage-flows.md)
4/21/2020 1:29,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52884,Make system-assigned identity requirement clearer.,[articles/azure-monitor/platform/collect-custom-metrics-linux-telegraf.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/collect-custom-metrics-linux-telegraf.md)
4/20/2020 22:14,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52872,Expand Example for Event Hubs,[articles/azure-monitor/platform/diagnostic-settings-template.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/diagnostic-settings-template.md)
4/20/2020 22:12,lgayhardt,https://github.com/MicrosoftDocs/azure-docs/issues/52871,After reading this page I have no idea how to establish correlation in .NET,[articles/azure-monitor/app/correlation.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/correlation.md)
4/20/2020 18:26,femsulu,https://github.com/MicrosoftDocs/azure-docs/issues/52852,POST purge using search query for user ID,[articles/azure-monitor/platform/personal-data-mgmt.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/personal-data-mgmt.md)
4/20/2020 17:50,femsulu,https://github.com/MicrosoftDocs/azure-docs/issues/52844,"Update a workbook programatically fails in ""A workbook with the same name already exists""",[articles/azure-monitor/platform/workbooks-automate.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/workbooks-automate.md)
4/20/2020 10:00,anirudhcavale,https://github.com/MicrosoftDocs/azure-docs/issues/52810,Updates? Windows?,[articles/azure-monitor/platform/collect-custom-metrics-linux-telegraf.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/collect-custom-metrics-linux-telegraf.md)
4/20/2020 8:40,bwren,https://github.com/MicrosoftDocs/azure-docs/issues/52802,Log Analytics Encryption,[articles/azure-monitor/platform/data-security.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/data-security.md)
4/17/2020 21:22,SwathiDhanwada-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52716,Customization for charts,[articles/azure-monitor/learn/tutorial-logs-dashboards.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/learn/tutorial-logs-dashboards.md)
4/17/2020 20:55,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52714,Utc calculation is crappy,[articles/azure-monitor/log-query/datetime-operations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/log-query/datetime-operations.md)
4/17/2020 11:28,mrbullwinkle,https://github.com/MicrosoftDocs/azure-docs/issues/52657,Make it clear that Log categories/levels are not inherited by ApplicationInsights provider,[articles/azure-monitor/app/ilogger.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/ilogger.md)
4/16/2020 21:22,MonikaReddy-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52609,Application Insights endpoint doc needs to reference connection strings,[articles/azure-monitor/app/custom-endpoints.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/custom-endpoints.md)
4/16/2020 16:19,MonikaReddy-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52583,Dependency telemetry is not collected in Background Services,[articles/azure-monitor/app/asp-net-core.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/asp-net-core.md)
4/16/2020 7:14,rboucher,https://github.com/MicrosoftDocs/azure-docs/issues/52532,Out of date diagnostic log type for Microsoft.Sql/servers/databases (SQLSecurityAuditEvents),[articles/azure-monitor/platform/diagnostic-logs-schema.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/diagnostic-logs-schema.md)
4/15/2020 18:37,mrbullwinkle,https://github.com/MicrosoftDocs/azure-docs/issues/52486,Some examples don't work,[articles/azure-monitor/app/worker-service.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/worker-service.md)
4/15/2020 15:59,nkiest,https://github.com/MicrosoftDocs/azure-docs/issues/52469,Monitoring Contributor cannot set diagnostic settings for a VM.,[articles/azure-monitor/platform/roles-permissions-security.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/roles-permissions-security.md)
4/14/2020 12:36,MGoedtel,https://github.com/MicrosoftDocs/azure-docs/issues/52357,AKS cluster with managed identities,[articles/azure-monitor/insights/container-insights-update-metrics.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-update-metrics.md)
4/14/2020 12:26,MonikaReddy-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52356,Link to Activity User Guide doesn't work,[articles/azure-monitor/app/correlation.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/correlation.md)
4/14/2020 10:44,SwathiDhanwada-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52352,Resolved status,[articles/azure-monitor/platform/alerts-common-schema-definitions.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-definitions.md)
4/14/2020 0:15,MonikaReddy-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52327,LiveStream for PowerApps?,[articles/azure-monitor/app/live-stream.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/live-stream.md)
4/13/2020 6:09,SwathiDhanwada-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52274,"No scaling out/in instance information in ""Autoscale notification webhook payload""",[articles/azure-monitor/platform/autoscale-webhook-email.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/autoscale-webhook-email.md)
4/11/2020 19:35,yanivlavi,https://github.com/MicrosoftDocs/azure-docs/issues/52213,Definition of time period for log analytics query is both irrelevant and confusing,[articles/azure-monitor/platform/alerts-unified-log.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-unified-log.md)
4/11/2020 18:55,rboucher,https://github.com/MicrosoftDocs/azure-docs/issues/52210,Need more information on getting to the search result 'rows' (from Log Analytics)  so we can use the data.,[articles/azure-monitor/platform/alerts-common-schema-integrations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-integrations.md)
4/10/2020 4:11,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52143,How to save functions with arguments?,[articles/azure-monitor/log-query/functions.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/log-query/functions.md)
4/10/2020 2:56,BhargaviAnnadevara-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52140,Timezone for dates in the Portal,[articles/azure-monitor/app/transaction-diagnostics.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/transaction-diagnostics.md)
4/9/2020 20:10,BharathNimmala-MSFT,https://github.com/MicrosoftDocs/azure-docs/issues/52118,Other services besides Azure Monitor?,[articles/azure-monitor/platform/design-logs-deployment.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/design-logs-deployment.md)
4/9/2020 19:45,femsulu,https://github.com/MicrosoftDocs/azure-docs/issues/52114,what's the equivalent cmd in CLI v2.0?  ,[articles/azure-monitor/platform/template-workspace-configuration.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/template-workspace-configuration.md)
