service,folder,file,type,link,media name,mediafolder,folder match
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , ../monitoring-and-diagnostics/insights-webhooks-alerts.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-monitor-web-app-availability.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-powershell-alerts.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Article  , app-insights-proactive-diagnostics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics.md , Article  , app-insights-overview.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics.md , Article  , app-insights-dashboards.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-import.md , Article  , app-insights-overview.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-import.md , Article  , app-insights-create-new-resource.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-import.md , Article  , ../storage/blobs/storage-dotnet-how-to-use-blobs.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-import.md , Article  , ../storage/blobs/storage-dotnet-shared-access-signature-part-2.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-import.md , Article  , app-insights-analytics-tour.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-troubleshooting.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-troubleshooting.md , Article  , app-insights-resources-roles-access-control.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-analytics-troubleshooting.md , Article  , ../../includes/app-insights-analytics-footer.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-annotations.md , Article  , app-insights-overview.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-annotations.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-annotations.md , Article  , app-insights-powershell.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-overview.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-asp-net.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-java-get-started.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-nodejs.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-javascript.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-diagnostic-search.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-analytics.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-api-custom-events-metrics.md , Article  , app-insights-sampling.md,,,
