"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","","index.yml"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Activity log\Export","How-to guides\Monitor resources\Monitor Azure resources\Activity log\","Export","platform/activity-log-export.md","platform/","activity-log-export.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Activity log\Schema","How-to guides\Monitor resources\Monitor Azure resources\Activity log\","Schema","platform/activity-log-schema.md","platform/","activity-log-schema.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Overview","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Overview","platform/diagnostic-logs-overview.md ","platform/","platform/diagnostic-logs-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Collect in Logs","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Collect in Logs","platform/diagnostic-logs-stream-log-store.md","platform/","diagnostic-logs-stream-log-store.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Collect from Azure Storage","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Collect from Azure Storage","platform/collect-azure-metrics-logs.md","platform/","collect-azure-metrics-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Archive to storage","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Archive to storage","platform/archive-diagnostic-logs.md","platform/","archive-diagnostic-logs.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Stream data to Event Hubs","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Stream data to Event Hubs","platform/diagnostic-logs-stream-event-hubs.md","platform/","diagnostic-logs-stream-event-hubs.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Enable with Resource Manager templates","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Enable with Resource Manager templates","platform/diagnostic-logs-stream-template.md","platform/","diagnostic-logs-stream-template.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\Service logs and metrics","How-to guides\Monitor resources\Monitor Azure resources\Diagnostic logs\","Service logs and metrics","platform/azure-storage-iis-table.md","platform/","azure-storage-iis-table.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\View service notifications","How-to guides\Monitor resources\Monitor Azure resources\","View service notifications","platform/service-notifications.md","platform/","service-notifications.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Stream to Event Hubs","How-to guides\Monitor resources\Monitor Azure resources\","Stream to Event Hubs","platform/stream-monitoring-data-event-hubs.md   ","platform/","platform/stream-monitoring-data-event-hubs.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Key Vault Analytics","How-to guides\Monitor resources\Monitor Azure resources\","Key Vault Analytics","insights/azure-key-vault.md","insights/","azure-key-vault.md"
"How-to guides","How-to guides\Monitor resources\Monitor Azure resources\Service Fabric Analytics","How-to guides\Monitor resources\Monitor Azure resources\","Service Fabric Analytics","../service-fabric/service-fabric-diagnostics-oms-agent.md","../service-fabric/","service-fabric-diagnostics-oms-agent.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Monitoring agents overview","How-to guides\Monitor resources\Monitor virtual machines\Agents\","Monitoring agents overview","platform/agents-overview.md","platform/","agents-overview.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\Overview","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","Overview","platform/log-analytics-agent.md","platform/","log-analytics-agent.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\Windows agents","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","Windows agents","platform/agent-windows.md","platform/","agent-windows.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\VM Extension for Windows","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","VM Extension for Windows","../virtual-machines/windows/extensions-oms.md","../virtual-machines/windows/","extensions-oms.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\VM Extension for Linux","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","VM Extension for Linux","../virtual-machines/linux/extensions-oms.md","../virtual-machines/linux/","extensions-oms.md"
"How-to guides","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\Operations Manager","How-to guides\Monitor resources\Monitor virtual machines\Agents\Log Analytics agents\","Operations Manager","platform/om-agents.md","platform/","om-agents.md"
