TopicKey,Title,Service,SubService,LiveUrl,GitFileName
f6fcd76d-81d0-3741-d536-34f525102342,Event counters in Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/eventcounters,eventcounters.md
dcad518b-1a35-ede9-7d7a-d70331a30f31,Azure Application Insights Data Model - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-data-model,export-data-model.md
0937479f-6baf-2c43-eabb-a032e6db08b0,Export to Power BI from Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-power-bi,export-power-bi.md
8d7ebc39-748a-9224-7a76-7f56b1ee6127,Export using Stream Analytics from Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-stream-analytics,export-stream-analytics.md
01346374-c52b-de29-8202-2acff9ba0780,Continuous export of telemetry from Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-telemetry,export-telemetry.md
cef77eed-41ae-f58d-69ac-c044d77d296c,Exploring HockeyApp data in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/hockeyapp-bridge-app,hockeyapp-bridge-app.md
206a5540-2ebb-87db-32d3-ee8b89af3d0b,How do I ... in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/how-do-i,how-do-i.md
c3bc1b58-9e6a-d676-00ac-3eb0043854f6,Explore .NET trace logs with ILogger - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/ilogger,ilogger.md
a4c34daf-7469-3231-fcc5-f45fda47f74f,IP addresses used by Application Insights and Log Analytics - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/ip-addresses,ip-addresses.md
c9e26e8f-e149-9399-2c23-3e4343c76451,Azure Application Insights IP address collection - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/ip-collection,ip-collection.md
8ac28233-31f7-7105-33ac-1debf1b9020e,Java web apps performance monitoring - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-agent,java-agent.md
4c3fa88c-ad5a-8f15-c881-4b0d6109efcb,Monitor Java web app performance on Linux - Azure - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-collectd,java-collectd.md
cdd78963-bb9f-daad-8412-6a33e0a793f7,Filter Azure Application Insights telemetry in your Java web app - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-filter-telemetry,java-filter-telemetry.md
4681ab3a-c543-1810-b12c-dd3046d6ed9a,Java web app analytics with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-get-started,java-get-started.md
48d204e2-2d7d-9a13-541c-086e7343a0a3,Azure Application Insights for JavaScript web apps - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/javascript,javascript.md
3bf13d17-cc6e-811f-236d-21877f3bcaf8,Explore Java trace logs in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-trace-logs,java-trace-logs.md
f179a25b-4513-2ac6-3943-b5585dc187ef,Troubleshoot Application Insights in a Java web project - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-troubleshoot,java-troubleshoot.md
8ca2942f-6c94-a964-d496-b5532a64aeff,Use Application Insights to monitor your Azure Kubernetes Service (AKS) or other Kubernetes hosted applications - Azure Monitor - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/kubernetes,kubernetes.md
17d5d813-0c6e-aae7-b104-e08f21dab7c2,Diagnose with Live Metrics Stream - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/live-stream,live-stream.md
c430f7c1-7ad6-26b4-a203-67e3c095c12d,Exploring Metrics in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/metrics-explorer,metrics-explorer.md
aaa186e5-9037-1fd7-1239-2e4d081e0891,How to use Micrometer with Azure Application Insights Java SDK - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/micrometer-java,micrometer-java.md
d1d136b8-7c0d-1799-43bd-7958ba89b54b,Monitor a live ASP.NET web app with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/monitor-performance-live-website-now,monitor-performance-live-website-now.md
a4b9605b-282b-ac35-5280-129052fb9a62,Monitor availability and responsiveness of any web site - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/monitor-web-app-availability,monitor-web-app-availability.md
9b28bce4-2a2b-5250-66d8-087b896f2f51,Monitor Node.js services with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/nodejs,nodejs.md
9c7696fc-3d49-1fac-8ea6-946d164dde16,Azure Monitor Application Insights NuGet packages - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/nuget,nuget.md
151e6353-9cf3-a629-f995-416d08dd2b5f,OpenCensus Go tracing with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/opencensus-go,opencensus-go.md
1a494f40-1e06-25b7-ca29-fd8c0407c00f,Azure Application Insights OpenCensus local forwarder (Preview) - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/opencensus-local-forwarder,opencensus-local-forwarder.md
ffd18d84-3869-cf39-0028-2df0b371b455,Monitor Python applications with Azure Monitor (preview) - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/opencensus-python,opencensus-python.md
5d4441ad-88c9-4c9a-d447-a21c1bc5c87b,Dependency Tracking in Azure Application Insights with OpenCensus Python - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/opencensus-python-dependency,opencensus-python-dependency.md
8927c8d6-7745-9fde-e76f-1767d5a4428b,Incoming Request Tracking in Azure Application Insights with OpenCensus Python - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/opencensus-python-request,opencensus-python-request.md
e2f966b3-c5ab-8401-23a8-a66084af8476,Azure Application Insights Overview Dashboard - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/overview-dashboard,overview-dashboard.md
99daf5a1-2219-7950-8b56-c0f286a37853,Performance counters in Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/performance-counters,performance-counters.md
2ac1593a-9f99-ecb6-9be6-c1fd9d91442d,Performance and load testing with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/performance-testing,performance-testing.md
69a99f89-8287-82a3-8c78-8318f9a60b34,"Application Insights: languages, platforms, and integrations - Azure Monitor | Microsoft Docs",Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/platforms,platforms.md
fa8654ff-adf1-0e04-20e2-38c976bcfbc2,Automate Azure Application Insights with PowerShell - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/powershell,powershell.md
45328dea-68e3-f7ff-c186-49abffbc2429,Use Powershell to set alerts in Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/powershell-alerts,powershell-alerts.md
fc840c71-6ce8-5a63-d39e-d65d0a7b82a9,Using PowerShell to setup Application Insights in an Azure - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/powershell-azure-diagnostics,powershell-azure-diagnostics.md
0e604ce9-424f-624b-a8a9-e32970f5ff67,Log-based and pre-aggregated metrics in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/pre-aggregated-metrics-log-metrics,pre-aggregated-metrics-log-metrics.md
b7705a2a-18a6-748e-927e-ea0cd0a17160,Manage usage and costs for Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/pricing,pricing.md
4682685e-c34b-bd5d-0d16-0df340a5f15f,Security Detection Pack with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-application-security-detection-pack,proactive-application-security-detection-pack.md
bdd9d712-b868-2362-ce20-e435e6fe163f,Smart detection rule settings - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-arm-config,proactive-arm-config.md
362d9cca-861d-1ff3-0549-b0e73f6a0abe,Alert on issues in Azure Cloud Services using the Azure Diagnostics integration with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-cloud-services,proactive-cloud-services.md
40330648-7f45-2325-2274-c5c807984172,Smart Detection in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-diagnostics,proactive-diagnostics.md
600926a5-2036-04a9-9ae7-1a7c5caa1c7f,Smart Detection notification change - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-email-notification,proactive-email-notification.md
af4f91b6-5297-40c9-2b9d-d8a6688003c3,Abnormal rise in exception volume - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-exception-volume,proactive-exception-volume.md
1f72104f-4108-63c1-5171-5d3d0283606a,"Smart Detection - failure anomalies, in Application Insights - Azure Monitor | Microsoft Docs",Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-failure-diagnostics,proactive-failure-diagnostics.md
4d9ad685-e8d6-b392-2452-30546a66fb30,Smart Detection - performance anomalies - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-performance-diagnostics,proactive-performance-diagnostics.md
e0618520-78d8-3f18-b47a-aa9dde1f417f,Detect memory leak - Azure Application Insights Smart Detection - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-potential-memory-leak,proactive-potential-memory-leak.md
2626354c-2f66-4eba-8b3a-8ce025f597d0,Degradation in trace severity ratio - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/proactive-trace-severity,proactive-trace-severity.md
d40575f8-cccd-c5f2-7ec1-1113e2740861,Profile live Azure App Service apps with Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/profiler,profiler.md
91d62554-60f3-6807-80ae-38357304cfc5,Profile ASP.NET Core Azure Linux web apps with Application Insights Profiler - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/profiler-aspnetcore-linux,profiler-aspnetcore-linux.md
272b0401-60a4-f329-c15d-a2a5b7602530,Profile live Azure Cloud Services with Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/profiler-cloudservice,profiler-cloudservice.md
0c0adf5f-61fe-6c5f-8d47-afd9d43f2a84,Profile production apps in Azure with Application Insights Profiler - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/profiler-overview,profiler-overview.md
