"CreatedAt","Assignee","Url","Title","Service","Content"
"6/14/2020 8:00:48 PM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/57044","Page refering to ""create management solutions"" in the second paragraph is missing","azure-monitor","[articles/azure-monitor/insights/solutions.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/solutions.md)"
"6/14/2020 9:24:42 AM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57029","Log Analytics Workspace Data Source Regex","azure-monitor","[articles/azure-monitor/platform/powershell-workspace-configuration.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/powershell-workspace-configuration.md)"
"6/14/2020 12:54:14 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/57026","This is not in preview anymore - update the page","azure-monitor","[articles/azure-monitor/insights/solution-targeting.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/solution-targeting.md)"
"6/13/2020 3:02:01 PM","renatosalas","https://github.com/MicrosoftDocs/azure-docs/issues/57016","No such role Storage Blob Contributor","azure-monitor","[articles/azure-monitor/app/profiler-bring-your-own-storage.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/profiler-bring-your-own-storage.md)"
"6/13/2020 2:50:10 PM","yossi-y","https://github.com/MicrosoftDocs/azure-docs/issues/57013","platform/customer-managed-keys.md - replace whitelisted with allow-listed","azure-monitor","[articles/azure-monitor/platform/customer-managed-keys.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/customer-managed-keys.md)"
"6/12/2020 6:10:41 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56938","""Azure Monitor for VMs"" is linked to ""Azure Monitor for containers overview""","azure-monitor","[articles/azure-monitor/monitor-reference.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/monitor-reference.md)"
"6/11/2020 10:16:43 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/56873","The tree example for the grid is confusing due to use of Req","azure-monitor","[articles/azure-monitor/platform/workbooks-visualizations.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/workbooks-visualizations.md)"
"6/10/2020 9:45:37 AM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56789","Quickstart: Monitor an Azure virtual machine with Azure Monitor: View data collected","azure-monitor","[articles/azure-monitor/learn/quick-monitor-azure-vm.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/learn/quick-monitor-azure-vm.md)"
"6/10/2020 1:10:38 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56759","Disconnected Steps","azure-monitor","[articles/azure-monitor/learn/tutorial-performance.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/learn/tutorial-performance.md)"
"6/9/2020 2:24:37 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56720","Request Telemetry not getting tracked on Portal","azure-monitor","[articles/azure-monitor/app/custom-operations-tracking.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/custom-operations-tracking.md)"
